id,fuente,comuna,region,precio_clp,precio_uf,superficie_total_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
PI-2023-11-002919,portalinmobiliario,Providencia ,Metropolitana,1240000,35.43,68.6,2023-09-16 00:00:00.000000,2023-11-15 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-11-004546,portalinmobiliario,Santiago,Metropolitana,425000,12.14,34.3,2023-11-06 00:00:00.000000,2023-11-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-11-004563,portalinmobiliario,San Joaquín,Metropolitana,515000,14.71,55.7,2023-05-25 00:00:00.000000,2023-11-29 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-11-004609,portalinmobiliario, Recoleta,Metropolitana,6285000,179.57,999.0,2023-11-12 00:00:00.000000,2023-11-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2023-11-001863,portalinmobiliario,Estación Central,Metropolitana,1030000,29.43,133.0,2023-10-23 00:00:00.000000,2023-11-08 00:00:00.000000,Departamento,Arriendo,agency
PI-2023-11-001262,portalinmobiliario,La Florida,Metropolitana,575000,16.43,42.4,2023-10-26 00:00:00.000000,2023-11-08 00:00:00.000000,departamento,arriendo,agency
PI-2023-11-000456,portalinmobiliario,Quinta Normal,Metropolitana,700000,20.0,81.7,2023-10-14 00:00:00.000000,2023-11-01 00:00:00.000000,Departamento,arriendo,owner_direct
PI-2023-11-000255,portalinmobiliario,Maipú,Metropolitana,380000,10.86,33.8,2023-10-10 00:00:00.000000,2023-11-01 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2023-11-000731,portalinmobiliario,Quinta Normal,Metropolitana,560000,16.0,57.7,2023-09-22 00:00:00.000000,2023-11-01 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-11-003969,portalinmobiliario,Quinta Normal,Metropolitana,400000,11.43,34.3,2023-10-14 00:00:00.000000,2023-11-29 00:00:00.000000,departamento,Arriendo,agency
PI-2023-11-003294,portalinmobiliario,Recoleta,Metropolitana,420000,12.0,33.9,2023-11-09 00:00:00.000000,2023-11-22 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
PI-2023-11-002797,portalinmobiliario,San Miguel,Metropolitana,485000,13.86,37.6,2023-11-01 00:00:00.000000,2023-11-15 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-11-000478,portalinmobiliario,Estación Central,Metropolitana,435000,12.43,41.5,2023-09-24 00:00:00.000000,2023-11-01 00:00:00.000000,departamento,Arriendo,agency
PI-2023-11-002564,portalinmobiliario,Independencia,Metropolitana,575000,16.43,53.0,2023-10-10 00:00:00.000000,2023-11-15 00:00:00.000000,DEPARTAMENTO,arriendo,agency
PI-2023-11-001862,portalinmobiliario,Santiago,Metropolitana,450000,12.86,25.3,2023-10-26 00:00:00.000000,2023-11-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
PI-2023-11-004049,portalinmobiliario,Las Condes,Metropolitana,1005000,28.71,51.4,2023-11-14 00:00:00.000000,2023-11-29 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-11-000501,portalinmobiliario,Recoleta,Metropolitana,670000,19.14,80.4,2023-09-21 00:00:00.000000,2023-11-01 00:00:00.000000,Departamento,arriendo,agency
PI-2023-11-000140,portalinmobiliario,Vitacura,Metropolitana,1310000,37.43,68.3,2023-10-26 00:00:00.000000,2023-11-01 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-11-003385,portalinmobiliario,Macul,Metropolitana,490000,14.0,38.5,2023-10-22 00:00:00.000000,2023-11-22 00:00:00.000000,Departamento,ARRIENDO,owner_direct
PI-2023-11-004150,portalinmobiliario,Estación Central,Metropolitana,495000,14.14,52.3,2023-11-08 00:00:00.000000,2023-11-29 00:00:00.000000,departamento,ARRIENDO,owner_direct
PI-2023-11-000999,portalinmobiliario,Peñalolén,Metropolitana,505000,14.43,43.0,2023-10-18 00:00:00.000000,2023-11-08 00:00:00.000000,departamento,ARRIENDO,agency
PI-2023-11-004595,portalinmobiliario,Independencia,Metropolitana,405000,11.57,43.1,2023-10-27 00:00:00.000000,2023-11-29 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
PI-2023-11-003150,portalinmobiliario,Lo Barnechea,Metropolitana,815000,23.29,51.0,2023-11-10 00:00:00.000000,2023-11-22 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-11-004738,portalinmobiliario,Macul,Metropolitana,745000,21.29,93.0,2023-11-01 00:00:00.000000,2023-11-29 00:00:00.000000,Departamento,ARRIENDO,agency
PI-2023-11-004554,portalinmobiliario,Peñalolén,Metropolitana,845000,24.14,97.4,2023-11-23 00:00:00.000000,2023-11-29 00:00:00.000000,Departamento,arriendo,agency
PI-2023-11-004309,portalinmobiliario,Las Condes,Metropolitana,1085000,31.0,46.3,2023-11-04 00:00:00.000000,2023-11-29 00:00:00.000000,departamento,Arriendo,owner_direct
PI-2023-11-004130,portalinmobiliario,La Florida,Metropolitana,640000,18.29,62.4,2023-11-18 00:00:00.000000,2023-11-29 00:00:00.000000,DEPARTAMENTO,Arriendo,owner_direct
PI-2023-11-001538,portalinmobiliario,La Florida,Metropolitana,585000,16.71,54.7,2023-10-08 00:00:00.000000,2023-11-08 00:00:00.000000,Departamento,Arriendo,owner_direct
