id,fuente,comuna,region,precio,divisa,superficie_m2,fecha_publicacion,fecha_scraping,tipo_propiedad,tipo_operacion,contact_type
TT-2023-09-001475,toctoc,Providencia,Metropolitana,30.0,UF,55.1,2023-08-09 00:00:00.000000,2023-09-08 00:00:00.000000,departamento,ARRIENDO,owner_direct
TT-2023-09-001085,toctoc,Huechuraba,Metropolitana,690000.0,CLP,67.4,2023-07-19 00:00:00.000000,2023-09-01 00:00:00.000000,departamento,Arriendo,agency
TT-2023-09-002791,toctoc,Independencia,Metropolitana,13.0,UF,43.9,2023-09-13 00:00:00.000000,2023-09-15 00:00:00.000000,Departamento,arriendo,owner_direct
TT-2023-09-002047,toctoc,Ñuñoa,Metropolitana,675000.0,CLP,49.2,2023-07-31 00:00:00.000000,2023-09-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2023-09-000682,toctoc,Las Condes,Metropolitana,690000.0,CLP,31.5,2023-08-25 00:00:00.000000,2023-09-01 00:00:00.000000,DEPARTAMENTO,arriendo,agency
TT-2023-09-003731,toctoc,LA FLORIDA,Metropolitana,740000.0,CLP,72.5,2023-08-23 00:00:00.000000,2023-09-22 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2023-09-001336,toctoc,Ñuñoa,Metropolitana,20.43,UF,39.1,2023-08-22 00:00:00.000000,2023-09-01 00:00:00.000000,Departamento,Arriendo,agency
TT-2023-09-001185,toctoc,Cerrillos,Metropolitana,570000.0,CLP,79.4,2023-06-25 00:00:00.000000,2023-09-01 00:00:00.000000,Departamento,Arriendo,owner_direct
TT-2023-09-004835,toctoc,,Metropolitana,11.86,UF,41.7,2023-09-05 00:00:00.000000,2023-09-29 00:00:00.000000,Departamento,ARRIENDO,owner_direct
TT-2023-09-003481,toctoc,Ñuñoa,Metropolitana,845000.0,CLP,82.2,2023-07-15 00:00:00.000000,2023-09-15 00:00:00.000000,departamento,Arriendo,agency
TT-2023-09-003561,toctoc,Huechuraba,Metropolitana,21.29,UF,56.6,2023-09-05 00:00:00.000000,2023-09-15 00:00:00.000000,DEPARTAMENTO,ARRIENDO,agency
TT-2023-09-002286,toctoc,Lo Barnechea,Metropolitana,680000.0,CLP,33.5,2023-08-15 00:00:00.000000,2023-09-08 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
TT-2023-09-003201,toctoc,Peñalolén,Metropolitana,575000.0,CLP,48.8,2023-09-10 00:00:00.000000,2023-09-15 00:00:00.000000,departamento,ARRIENDO,owner_direct
TT-2023-09-000024,toctoc,Macul,Metropolitana,1265000.0,CLP,27.0,2023-08-08 00:00:00.000000,2023-09-01 00:00:00.000000,Departamento,arriendo,agency
TT-2023-09-002424,toctoc,Conchalí,Metropolitana,350000.0,CLP,26.8,2023-08-25 00:00:00.000000,2023-09-08 00:00:00.000000,DEPARTAMENTO,ARRIENDO,owner_direct
TT-2023-09-001992,toctoc,Pudahuel,Metropolitana,630000.0,CLP,75.6,2023-08-20 00:00:00.000000,2023-09-08 00:00:00.000000,Departamento,ARRIENDO,agency
TT-2023-09-004726,toctoc,,Metropolitana,15.14,UF,52.2,2023-07-26 00:00:00.000000,2023-09-29 00:00:00.000000,DEPARTAMENTO,arriendo,owner_direct
TT-2023-09-004902,toctoc,,Metropolitana,740000.0,CLP,105.5,2023-09-10 00:00:00.000000,2023-09-29 00:00:00.000000,DEPARTAMENTO,arriendo,agency
